record_type,id,name,sku,description,vendor_id,return_policy_type,return_policy_months,item_id,quantity,expiry_date,pullout_date,remarks,comment,completed
vendor,v-zuellig,Zuellig Pharma,,,,,,,,,,,,
vendor,v-getz,Getz Bros.,,,,,,,,,,,,
vendor,v-organica,Organica,,,,,,,,,,,,
vendor,v-lpd,LPD Remiture,,,,,,,,,,,,
vendor,v-belgan,Belgan Mktg,,,,,,,,,,,,
vendor,v-remar,Remar Mktg.,,,,,,,,,,,,
vendor,v-unilab,"Unilab, Inc.",,,,,,,,,,,,
vendor,v-oxford,Oxford,,,,,,,,,,,,
vendor,v-goodfellow,Goodfellow,,,,,,,,,,,,
vendor,v-global,Global Therapeutics,,,,,,,,,,,,
vendor,v-healol,Healol Pharma,,,,,,,,,,,,
vendor,v-metro,"Metro Drug, Inc.",,,,,,,,,,,,
item,i-26708,,26708,Ethoxin 100mg,v-zuellig,months_before_expiry,1,,,,,,,
item,i-72055,,72055,Thenof-B,v-getz,months_before_expiry,1,,,,,,,
item,i-75211,,75211,Clearsight Cap (20),v-organica,months_before_expiry,1,,,,,,,
item,i-71033,,71033,Megaman,v-lpd,months_before_expiry,1,,,,,,,
item,i-60223,,60223,Koi Herbal (100),v-belgan,months_before_expiry,4,,,,,,,
item,i-37804,,37804,Optun (21),v-remar,months_before_expiry,7,,,,,,,
item,i-62757,,62757,Fozal MR (20),v-unilab,expiry_month,0,,,,,,,
item,i-61792,,61792,Furic 40mg,v-zuellig,months_before_expiry,1,,,,,,,
item,i-61793,,61793,Furic 80mg,v-zuellig,months_before_expiry,1,,,,,,,
item,i-74009,,74009,Aminodg,v-oxford,months_before_expiry,4,,,,,,,
item,i-63855,,63855,Tacit 10 meq 30s (30),v-unilab,expiry_month,0,,,,,,,
item,i-6582,,6582,Faktu Supp,v-zuellig,months_before_expiry,1,,,,,,,
item,i-63555,,63555,Eposino Inj.,v-goodfellow,months_before_expiry,5,,,,,,,
item,i-47436,,47436,Avamax 20mg,v-unilab,expiry_month,0,,,,,,,
item,i-12787,,12787,Cardiosel 50mg (40),v-unilab,expiry_month,0,,,,,,,
item,i-61626,,61626,Carvid 25mg (36),v-unilab,expiry_month,0,,,,,,,
item,i-75798,,75798,Besprin (30),v-global,months_before_expiry,8,,,,,,,
item,i-74456,,74456,Kenzar 100mg (change),v-global,months_before_expiry,8,,,,,,,
item,i-74160,,74160,Itorvaz 20mg,v-global,months_before_expiry,8,,,,,,,
item,i-70061,,70061,Lavil 20mg,v-healol,expiry_month,0,,,,,,,
item,i-62026,,62026,Lipitor 80mg,v-zuellig,months_before_expiry,1,,,,,,,
item,i-8938,,8938,Logimax,v-zuellig,months_before_expiry,1,,,,,,,
item,i-76821,,76821,Merit 80mg (30),v-unilab,expiry_month,0,,,,,,,
item,i-38898,,38898,Neosartan 50mg,v-metro,months_before_expiry,1,,,,,,,
item,i-62353,,62353,Neosartan Plus 50mg/12.5mg,v-metro,months_before_expiry,1,,,,,,,
item,i-49435,,49435,Plogrel 75mg,v-zuellig,expiry_month,0,,,,,,,
item,i-74738,,74738,Spirofar 25mg,v-global,months_before_expiry,8,,,,,,,
item,i-67692,,67692,Tareg 80mg,v-zuellig,months_before_expiry,1,,,,,,,
inventory,inv-26708,,,,,,,i-26708,35,2026-03-01,,"No, Loose",SOLD OUT,true
